observation,humor,rating,location,topic,monica,rachel,chandler,joey,phoebe,ross
1,8,7,2,1,1,0,1,1,1,0
2,7,6,1,4,0,0,1,1,0,0
3,6,6,1,1,1,1,0,0,0,1
4,9,7,2,4,0,1,1,1,1,1
5,1,6,1,1,1,1,0,0,0,0
6,5,6,1,4,1,1,1,1,1,1
7,6,4,1,4,0,0,1,1,0,0
8,7,5,2,4,1,1,1,1,1,1
9,5,6,1,1,1,1,0,0,0,0
10,3,4,4,0,1,0,0,0,0,0
11,7,7,1,3,0,0,1,1,0,0
12,5,5,1,3,1,1,1,1,1,1
13,8,8,1,4,0,0,1,1,0,0
14,3,5,1,3,1,1,0,0,1,1
15,7,6,1,1,0,1,1,1,0,0
16,6,5,4,3,1,0,0,0,1,0
17,6,7,3,1,0,1,1,0,0,0
18,9,8,3,1,0,1,1,0,0,0
19,5,6,4,3,1,0,0,0,1,0
20,10,9,3,1,0,1,1,0,0,0
21,5,5,1,4,0,0,0,1,0,0
22,9,8,3,1,0,1,1,0,0,0
23,7,7,4,4,1,0,0,0,1,0
24,7,8,2,4,1,1,1,1,1,1
25,8,7,3,1,0,1,0,0,0,0
26,6,6,1,4,1,1,1,1,1,1
27,4,5,4,4,0,1,0,0,0,0
28,3,4,1,4,1,1,1,1,1,1
29,1,4,4,4,0,0,0,1,0,0
30,3,8,1,2,1,1,1,0,1,1
31,5,4,1,4,1,1,0,1,0,0
32,7,7,4,4,0,0,1,0,0,1
33,6,6,3,1,0,0,0,0,1,0
34,8,7,4,4,0,0,1,0,0,1
35,9,8,3,1,0,0,0,0,1,0